id,name,type,longitude,latitude,cluster
63,Ancienne Bergerie ronde,architecture,-0.1126048,44.316288,0
64,Église de Montarouch,architecture,-0.2615401,44.7555809,-1
66,Villa gallo-romaine de la Coue d'Auzenat,architecture,-0.0282254,45.3311119,0
67,Aqueduc (restes d'un),architecture,-0.0283283,45.3313828,0
68,Chateau de Merpins,architecture,-0.3960415,45.6763268,0
72,Tour,architecture,-0.5051839,45.7396469,0
73,Logis de Cherconnay,architecture,-0.0236974,45.9873314,0
74,Phare des Dames,architecture,-2.2209752,47.011219,-1
77,Les Tours d'Elven,architecture,-2.6183677,47.725174,1
78,Chateau de Campbon,architecture,-1.9687657,47.4136314,2
79,"La tour Bretagne, un ""gratte-ciel"" en point de mire",architecture,-1.5566827,47.2167282,2
80,Chateau de Thouaré-sur-Loire,architecture,-1.4436638,47.2614403,2
81,La Garenne Valentin,architecture,-1.2759429,47.0885849,2
82,Manoir de Saint-Jouin,architecture,-0.7575664,46.9279556,-1
83,Villa d'Omblepied,architecture,-1.2410077,47.3639793,2
84,Forges de Moisdon-la-Rivière,architecture,-1.3479537,47.603302,2
85,Manoir de la Cour Condé,architecture,-0.1862982,47.3214226,-1
87,Chateau des Barons du Pont,architecture,-4.2224202,47.8669281,-1
90,Maison Gérard,architecture,-4.6233091,48.4329262,3
92,Manoir de Trébodennic,architecture,-4.3079081,48.5354614,3
93,Saint-Pierre de Quimerch,architecture,-4.0703135,48.2965164,3
94,Chateau de Tonquédec,architecture,-3.4116986,48.6764755,-1
95,Manoir du Cloître,architecture,-3.1515656,48.6892509,-1
98,Boulevard de la Liberté,architecture,-1.6800312,48.1075439,4
99,Hôtel de Cintré,architecture,-1.6827821,48.111824,4
100,Phare de la Haize,architecture,-1.9783518,48.6711464,4
101,Le mouton blanc,architecture,-1.5098283,48.6356888,4
102,Manoir de Gonneville,architecture,-1.5873183,49.0813065,5
103,Chateau du Tiercent,architecture,-1.4028435,48.350853,4
104,Chateau de Montfort,architecture,-1.2702471,49.1915779,5
105,Manoir de Pommereux,architecture,-0.1193538,48.7508011,-1
106,Tour de Saint-Pierre,architecture,-0.3612194,49.185463,5
107,Manoir d'Émiéville,architecture,-0.2190164,49.162899,5
108,Manoir de Camprond,architecture,-1.4143114,49.2527618,5
109,Manoir d'Urville,architecture,-1.440117,49.4526787,5
110,Alauna,architecture,-1.4552097,49.5071373,5
111,Launch site for V-1 flying bombs at Brécourt,architecture,-1.6697741,49.6516991,5
112,Abbaye Notre-Dame-du-Voeu,architecture,-1.6412606,49.6472549,5
115,Manoir de Méterville,architecture,-1.3893322,49.2537766,5
116,Manoir de Cantepie,architecture,-1.1619976,49.3070564,5
117,Ferme du Clos Montfort,architecture,-0.9975806,49.3051529,5
118,Ferme de la Marguerie,architecture,-0.796128,49.3203888,5
119,Manoir de Prébois,architecture,-0.3104549,49.2865067,5
251,Cloister of Saint-Sever-de-Rustan abbey,architecture,0.0770312,43.2377701,-1
252,Chateau d'Aurignac,architecture,0.8799995,43.21978,-1
253,Thermes gallo-romains,architecture,0.9114037,43.2389755,-1
257,Chateau de Montaillou,architecture,1.8940494,42.7866325,-1
260,Chateau de Fréchou,architecture,0.319456,44.0859909,0
261,Village de Montgaillard,architecture,0.2937009,44.2082138,0
262,Mairie-école de Frégimont,architecture,0.4585237,44.2779007,0
263,Chateau de Birac,architecture,0.2757563,44.4914398,0
264,Chateau de Fontirou,architecture,0.7106396,44.3192749,0
265,Halle,architecture,0.7429602,44.6372833,0
266,Allée couverte du Blanc,architecture,0.7533383,44.7393608,0
267,Manoir de Sautet,architecture,0.8145734,44.7985497,0
268,Manoir de Pech Godou,architecture,1.0107644,44.7527733,0
269,Les Cabanes du Breuil,architecture,1.1244905,44.9202194,0
270,Maison du Grand Écuyer,architecture,1.9493998,44.0634727,-1
272,Chateau de La Grillère,architecture,2.1792212,44.9019508,-1
280,Fort de la Mauresque,architecture,3.1093605,42.524662,-1
282,Le Saint-Jean,architecture,2.8964953,42.7006302,-1
283,Palais des Archevêques de Narbonne,architecture,3.0037296,43.1841545,-1
285,Tour Sarrasine,architecture,5.2487388,43.4608116,6
286,Le Jardin des Vestiges,architecture,5.3746409,43.2964249,6
287,Clocher du couvent des Augustin,architecture,5.4469552,43.527195,6
288,Episcopal palace of Montpellier,architecture,3.8753664,43.6135483,-1
289,Ensemble fortifié du Villard,architecture,3.2982981,44.4815521,-1
290,Prieuré Saint-Nicolas de Campagnac,architecture,4.3766127,43.942646,6
291,Grand Théâtre de Nîmes,architecture,4.3998804,43.7844887,6
292,Pont Van-Gogh,architecture,4.6211452,43.6569481,6
293,Pont van Gogh,architecture,4.620976,43.6569977,6
294,Pont du Gard,architecture,4.5353198,43.9472313,6
296,Chapelle Saint-Etienne,architecture,4.5942593,43.9634705,6
297,Palais du Roure,architecture,4.807796,43.9472694,6
298,Tour des Augustins,architecture,4.8132434,43.9500198,6
299,Village des Bories,architecture,5.1801863,43.9074249,6
300,Chateau de Lourmarin,architecture,5.3594007,43.7637634,6
302,Chateau de Javon,architecture,5.3420148,43.9973679,6
303,Pont romain de Viviers,architecture,4.6717591,44.4881859,7
304,Évêché de Viviers,architecture,4.6906614,44.4806786,7
305,Maison des Chevaliers,architecture,4.6886053,44.4832802,7
306,Les Chevaliers,architecture,4.6888905,44.4831123,7
307,Chateau de Chabrillan,architecture,4.9417315,44.7242279,7
315,Pont de la Reine Jeanne,architecture,6.0437908,44.1869812,9
316,Castellaras de Thorenc,architecture,6.8392463,43.7916183,8
317,Chateau de Gréolières,architecture,6.9425993,43.7948608,8
319,Tour Lesdiguières,architecture,6.3099842,44.3709068,9
320,Tour Brune,architecture,6.4954109,44.562912,9
322,Thermes de l'Est,architecture,7.2765136,43.7188721,8
332,Église monolithe Saint-Jean (Aubeterre-sur-Dronne),architecture,0.171293,45.2722473,0
333,Chateau Barrière,architecture,0.5371511,45.0204659,0
334,Logis de Chênard,architecture,0.1878715,45.4434052,0
335,Mairie de Sireuil,architecture,0.0090018,45.6152267,0
336,Domaine de la Forêt,architecture,0.0053885,45.5593987,0
337,Tour dite Logis du Moine blanc,architecture,0.1502342,45.6433334,0
338,Logis de Nanteuil,architecture,0.3037199,45.5946159,0
339,Manoir d'Aizecq,architecture,0.2806087,45.9903755,0
340,Logis de Tessé,architecture,0.079447,46.0710106,0
341,Abbaye de Valence,architecture,0.1730822,46.3105469,0
342,Ruine Abbaye de Valence,architecture,0.1724908,46.3110237,0
343,Église Saint-Martin-de-Tours d'Oradour-sur-Glane,architecture,1.0405924,45.9282722,10
344,Chateau des vicomtes de Limoges,architecture,1.1423839,45.7963676,10
346,Chateau de Ventadour,architecture,2.1166639,45.3918495,-1
347,Pont de Senoueix,architecture,1.996567,45.8175011,-1
348,Restes du donjon,architecture,1.5707268,46.1534309,-1
349,Ancienne Cure de l'Eglise Sainte-Croix,architecture,0.6813788,47.3935432,11
350,Hotel du cygne tours,architecture,0.6912622,47.3956795,11
351,Manoir de Sapaillé,architecture,0.6926187,47.4285011,11
352,Manoir de Breil de Foin,architecture,0.0814077,47.5618019,-1
353,Manoir de Thomas Bohier,architecture,0.9084318,47.3555946,11
354,Halle des Cardeux,architecture,1.1995928,47.1561928,11
355,Chateau de Montoire,architecture,0.8570536,47.7499695,11
356,Maison Saint-Martin,architecture,1.0674354,47.7918472,11
357,Ancienne Abbaye de Loroy,architecture,2.4183052,47.3199272,-1
359,Maison dite Maison de Mandrin,architecture,3.3837719,45.2933731,-1
361,"Maison, en face de l'hospice",architecture,2.9331169,45.51194,-1
362,Beffroi,architecture,3.2894702,46.3075142,-1
363,Chateau de Montaigu-le-Blin,architecture,3.5134556,46.2964554,-1
364,Monastère de Colombier-le-Cardinal,architecture,4.737359,45.2679176,-1
365,"L'immeuble dit ""Le Grand Cercle""",architecture,4.3875875,45.4385681,-1
366,Maison forte de Villon,architecture,4.8437519,46.0530853,12
367,Maison de Benoît-Raclet,architecture,4.7351398,46.1864815,12
368,Maison Salomon,architecture,5.1804433,45.9031219,12
369,Hôtel de la Teyssonnière,architecture,5.2215042,46.2065735,12
370,Ferme de Layat,architecture,4.9913664,46.3688507,12
371,Chateau de Rosemont,architecture,3.2738495,46.8497543,-1
372,Ferme Bourbon,architecture,5.1780677,46.4507675,12
373,Prefecture hotel of Jura,architecture,5.5505438,46.6720695,12
375,Collégiale de Thil,architecture,4.3359275,47.3871155,-1
376,Porte Saint-Pierre,architecture,5.0432539,47.3172264,13
377,Hôtel Thomas Berbisey,architecture,5.0374708,47.3189278,13
378,Hôtel de Vienne,architecture,5.042788,47.3195572,13
379,Gauthiot d'Ancier  mansion (Gray),architecture,5.5910735,47.4448738,20
380,Manoir de Verdigné,architecture,0.3561115,48.2572136,-1
381,Ancienne chapelle Notre-Dame du Champdé,architecture,1.334584,48.0679703,11
382,Manoir du Cormier,architecture,1.0723618,48.2676353,11
383,Tour carrée,architecture,0.2238129,49.146946,5
384,"Maison, 5 rue des Sources",architecture,0.5938373,49.0909882,5
385,Le Breuil-Benoît Abbey,architecture,1.3559139,48.809021,-1
386,Chateau de l'Isle (Saint-Denis-en-Val),architecture,1.9944943,47.8883209,-1
387,Abbaye de Notre-Dame de la Cour-Dieu,architecture,2.1985798,48.0068283,-1
388,Hôtel Saint-Yon,architecture,2.1641657,48.4335785,14
